,sentence,label,predicted_label
0,they feel like small little flashbacks when i try to think back.,0,0
1,by that i mean i want to educate myself more biochemistry.,1,1
2,but knowing that god is with me throughout my academic journey and this thing called life is comforting.,0,0
3,i hope to continue my long but heartfelt journey so that i can have a career and a life that i am proud of.,0,0
4,i naturally enjoy helping other people and helping people in need.,0,0
5,i really hope that this course will help me expand my understanding of physics by introducing new techniques like using calculus to solve problems.,0,1
6,"i am here as i will be graduating in just a few months and all my family members will be able to see me graduate, virtually or on stage.",0,1
7,"i am taking this science course because the first 2 weeks of organic chemistry, i had a few panic attacks and was extremely worried for how i will end up doing do in the course.",0,0
8,i am here because i want to further my education and expand my knowledge.,1,1
9,i'm here because i worked very hard in my first two years of college in order to change my major to something i liked more than what it was before.,0,0
10,i want to have more knowledge about everything.,1,1
11,"honestly, if it wasn't required i probably wouldn't be in this class.",0,0
12,i am a handson learner so this is the best learning experience for me.,0,0
13,i also am here because i like to work hard and push my mind to its limits.,0,0
14,this is my first semester in sf state coming from community college.,0,0
15,they work so hard to support me and my siblings to send us all to college.,0,0
16,i am here to do my best and learn as much as possible.,1,1
17,i am here because i am a biology major going into human genetics.,0,0
18,although i know i am barely scratching the surface of my full potential in life and wherever it is that i may end up is still unknown.,0,0
19,"it definitely is a difficult journey and comes with many challenges, but in the end, i will achieve something that is going to benefit me for the rest of my life.",0,0
20,i think my purpose is to travel to third world countries and help people who really need it.,0,0
21,"in my freshman year of college, i started researching and eventually interviewed a civil engineer and it reinforced in my brain that this is what i want to become, it fascinates me and i feel like i will be happy in this field of work for the rest of my life.",1,1
22,"i also want my life to have meaning, i want to give back to my community and to help with some of the problems like helping the homeless, and just trying to help out in any way possible.",1,0
23,i don't want to be stuck with a major and be unhappy.,0,0
24,all while not having enough at the end of the day to provide the life i want to my family and myself.,0,0
25,i care about my grades and i really enjoy the topics although its difficult.,0,0
26,after seeing them it made me really interested in physics or possibly majoring in physics but after starting class last month i realized that physics is actually really hard.,0,0
27,to be able to do so i need to first accomplish my goal of obtaining a bachelors in kinesiology which requires me to take physics.,0,1
28,the thing is ive always liked math and science but i never really had a clear path of what i wanted to do with it all.,0,0
29,"there is no reason or rhyme to why each of us are here, but it is our duty to discover what that means for us, individually.",0,0
30,"i often ask myself this question, ""why am i here?"" and i start to think about all i have done to be here, how far i have come.",0,0
31,"we can learn more about mechanics in physics and how it applies to everyday life, like in our machinery and other stuff.",0,0
32,for each one i always end up saying so that i dont miss class and can graduate.,0,0
33,im here because i need help to pass ochem. i would like help from my science community because its hard to get help and noticed when we are so many students.,0,0
34,in order to be able to invent anything i know i need to understand the physics behind it.,0,0
35,i am at sfsu because i wanted to run cross country in college.,0,0
36,"this class can teach you how to work with others, which i think is a critical skill to learn.",0,0
37,i figured that it would help me really understand the base concepts of physics.,0,0
38,i am in sci230 because i needed it to reach full time student status.,0,0
39,"this course along with other are actually really important for me i take, this class is a designated class for my specific major.",0,0
40,i want to be able to provide for my family and especially to give back to my parents.,0,1
41,"for example, while a systems net force is not equal to zero, it occurs acceleration by the newton's 2nd law.",0,0
42,"i am not just here but i am present, to learn what i can to help the world in my own way through science, through justice, and from the heart.",0,0
43,i wouldnt bother to try to explain because ive accepted one true fact that we all can live with: im here right now because i have to be.why am i here right now?,0,0
44,i am here because i want to do good in school and get a job in computer science.,1,1
45,"i remember in class we did the ekg lab and i think this is one of the closest things to the career i want to pursue, i work as a medical assistant now and i do ekg for patients almost every time i have a shift and getting to understand it from a different perspective, a physics perspective is really interesting because i'm always focused on biology and this part of science but i never expand my knowledge outside my box or my ""comfort zone"" because in the past i didn't do very good in physics classes or they weren't my favorite classes i have a bad memory with these classes so that is why i moved away from trying to understand it.",1,1
46,i am here because i believe this class with give me help and understanding to succeed and move on to other chemistry classes.,0,0
47,i took physics when i was in my freshman year of high school which was almost five years ago.,0,0
48,"i am here to make sure that i graduate and make my family proud, i am also the first generation of my family to attend college.",0,1
49,the concepts that are taught in physics are harder for me to comprehend than the other science courses.,0,0
50,i'm here cause my parents brought me here.,0,0
51,"i am an international student from china, and my parents send me here because they want me to have better education resources.",0,0
52,"this is my third year here at sfsu, and i am starting to take more and more major classes as well as classes (like this one) for prerequisites for doctorate of physical therapy programs.",1,1
53,my goal is to work hard and grasp an understanding of the topics taught so that i have a good foundation for when i take the next physics course needed.,0,0
54,so i hope this class will help me succeed in this semester and in my biology major.,0,0
55,my primary goal is to understand how the universe works and function.,0,0
56,i need because it's required or else i wouldn't be in this particular class.,0,0
57,i want to be successful and happy in my career as a marine biologist and i want to make my parents proud.,1,1
58,i am here to improve and challenge myself to learn new things and be capable to do things on my own.,1,1
59,"physics is a requirement, but aside from being a prereq....",0,0
60,i chose to take this course because it goes along with my physics lecture this semester and it meets my prerequisite requirement for my major.,0,0
61,i often question myself how different my life would be or how it would my life be if i was not who i am.,0,0
62,why am i here? im here because i want to make my parents proud a better future for my family myself a better job that pays better than a regular job be able to afford certain things such as a house and trips,0,1
63,"sometimes, i honestly feel stupid, but i know how to get out of that feeling, and that my friends is why i am here in sci305.",0,0
64,"point and case, my cat sitting on my printer glaring at me because he wants something from me.",0,0
65,school is essential in to days society in order to obtain a well paying and generally higher stature job.,0,0
66,"however, i do know that professors can become overwhelmed with the amount of classes, students, and grading that they have.",1,0
67,"i do think practice and experience doing homework even if you fully understand the concepts is beneficial, but i don't spend my time unless forced to like a sci class.",0,0
68,"in the end, sfsu has actually grown on me and i do not regret it one bit.",1,0
69,"i have never spent too much time in sf to know the area, but through sfsu i am very excited to get to know the city and continue my journey.",0,0
70,"so, i am here to hope to learn the basic concepts of physic.",1,1
71,i also think that all college stuff gets you prepared for the work load that is waiting for me out there.,0,0
72,to make myself a better person and more knowledgeable,0,0
73,either for ourself or someone very important to them.,0,0
74,i am here so that i can attain my bachelors in cinema and accomplish my mission of becoming a screenwriterdirector.,1,1
75,this is a very standard answer but it goes more into that.,0,0
76,everything obeys the laws of physics.,0,0
77,i am also here because i want to be able to graduate in the four year time period as time is really important to me.,1,1
78,"i loved building things which made me decide civil engineering, but i always enjoyed working with cars since my dad worked and built cars when i was a kid.",1,0
79,the second reason is that it is really interesting and useful to know a lot of the stuff that you would learn when getting a stem degree.,0,0
80,"it is nice to learn more about modern physics, and how i can apply it in the real world when i need too.",0,0
81,i am here to get extra help in passing the course and the requirements i need to get into optometry school or pa school.,1,1
82,you might not even be the best version of yourself. but still we or i continue to act like these smaller things seem to matter.,0,0
83,this is a good opportunity for me to refresh my memories of what i learned since high school physics class.,0,0
84,i'm here because this is a class that i need for my major.,0,0
85,"the medical field has always interested me, once i got involved with sports and the gym i was more interested in a career that could overlay on those aspects that i enjoy.",0,1
86,this allows me to learn faster.,0,0
87,"i have to take physics for medical school prerequisites, but i am so excited by understanding how the world works.",1,0
88,(and if not i will just come back to sci and get some extra help),0,0
89,this is my first physics class i've taken since freshman year of high school and i didn't do so good in that class because i thought i wouldn't do anything with sciences or math so why bother learning this.,0,0
90,i am here solely to learn.,0,0
91,i am here to understand the material taught in class better.,1,1
92,and also because it is related to math and solve problems.,0,0
93,"i find physics to be really interesting, and important to understand what is happening in the physical world.",0,0
94,i am a second year prebiology major.,0,0
95,hopefully we will get to graduate at the same time too.,0,1
96,this class is also probably a prereq for another class that i will need to take.,0,0
97,"i love math and love to explore it, and physics also helps me learn math, so i am here.",0,0
98,"since the age of ten i would watch project runway and was obsessed with the design people would make, consistently figuring out what was great about them and what i would fix.",0,0
99,"throughout my entire life, i have dreamt about working in the medical field.",1,0
100,it goes further into the theories and definitions and i believe it is important for me to learn those from this class.,0,0
101,but other than that i know this class will be hard and i just have to be open to making more time for my studies.,0,0
102,"so overall all, i am here to learn as much as possible that way i can succeed and continue on my path towards my future endeavors.",1,1
103,"i'm also here because i want to learn and meet new people, build bonds so i can have connections in the future.",1,1
104,"i am here to pursue my career of becoming an electrical engineering, and physics is one of the most important parts of it.",1,1
105,"with this class, i not only hope to get as much help as i can but also to meet people in order to make a study group and make connections for the future.",0,0
106,i learned that engineering mostly focussed on problem solving and creating products and tools to help solve those problems.,1,1
107,being able to do well in a challenging class like physics ii will further validate that i am able to excel in a challenging curriculum and will further convince ucsf that i am a good fit for their program.,0,0
108,"so for this class, i decided to join is for that extra help to understand the material better.",0,0
109,i enjoy learning about how our world works because it allows me to come up with ideas as to how we can make it better.,0,0
110,i am here to complete the path that i have always wanted to complete.,1,1
111,"even though i am upper division and already have half my units finished, i still have to be at the school for 4 years because of the specific criteria it takes to graduate.",0,1
112,"at that time, the general concepts were not difficult for me to understand.",0,0
113,i dont regret anything.,0,0
114,why am i here?the reason i am here is to prove myself and the people who have doubted my capabilities all from the start.,0,0
115,it can have many different contexts that it can be used in.,0,0
116,"so, i am here to know physics a little better.",1,1
117,i am here because i am a first generation college student and i am interested in the medical field.,0,0
118,"since i can remember my family has always been in the construction business so whenever i look at structures, i imagine how they are built.",0,0
119,"i have to take these classes for my biology major, as it is a requirement.",0,0
120,"i originally came for journalism, but too one class and absolutely hated it.",0,0
121,i also find math an easier topic for me than english so that probably has an impact on my decision to do this as well.,0,0
122,i am here at sf state taking physics 222 because i want to pursue a career in engineering.,1,1
123,"in the sense of why am i going to college, i would say that i feel like my purpose in life is to be in the medical field to help people.",0,0
124,"so when i decide or feel that i am good at something i tend to cling to it; so this is me, clinging to something i feel i am good at, thus far at the least.",0,0
125,i am here in my 9 am lab because i would like to expand my knowledge and hands on lab skills but also because its a class that i need to take.,1,1
126,"right now i feel it was a good decision, helped me understand new topics and more problems to practice with.",0,0
127,:) roberto ramirez.,0,0
128,we play games and teach each other.,0,0
129,"but if i had to give an answer i would most likely say it is for my future and to make my parents proud of me for achieving a goal, especially within the science category.",0,0
130,i know that physics 102 is suppose to make your understanding of physics 101 a lot clearer and easier to learn.,0,0
131,this class for me is a review at the same time finding my purpose in science and my future career as a pt.,1,0
132,i knew i was going to be constantly asking for help due to the fact that i'm first generation.,0,0
133,also this gives me the opportunity to meet some of my classmates.,0,0
134,it also helps with problem solving skills and critical thinkingtwo very important skills to have as a software engineer.,0,1
135,"however, for my major, i would definitely need a degree because its smiled upon.",0,0
136,"aside from that, i am also here to further my education not just to get my degree but to also help me better my understand of the world.",0,0
137,i don't want to see the people around me suffer from diseases or be in pain.,0,0
138,my understanding of calculus isnt that good and i hope to understand calculus better and its use in application through this class.,0,0
139,i am also here in this class because i need to fulfill my ge requirement.,0,0
140,i want to get past university not only to prove to myself that i can but to also set a path for my sister who also wants to attend university whenever she is able to.,1,1
141,all throughout k12th grade i knew in my mind that i wanted to do stem as a way to try to accomplish one of my loving parents' dreams that they sacrificed so much for.,0,0
142,my main reason for taking this class is to prepare myself for my future studies and eventually my future career goals.,0,0
143,"furthermore, conceptual physics has always been something i enjoyed because it helps frame a sense of grounding to rest upon when thinking about my place in the universe.",0,0
144,i am here to take the lab to physics 101.,1,1
145,to achieve this i have enrolled in this class to lighten the weight of chemistry 215.,0,0
146,"in order to become a licensed psychologist, i need to graduate from a university first.",0,1
147,i didn't really think about what i want to do.,1,1
148,"in high school, we mainly learned about newton's law and what forces are.",0,0
149,"at pretty much all the medical schools i am looking into i need one year of general physics, general chemistry, and general biology.",0,1
150,"coming to san francisco state university was not easy at all, especially the language, community, environment, and the surroundings.",0,0
151,"i think firstly that i had a good time learning physics in high school, so i already had an interest in this so i can also complete my requirements to graduate.",1,1
152,i am even seeing similarities in my chemistry and math class so by taking this class it is strengthening my overall knowledge and helping me reach my goal of majoring in biophysiology.,0,0
153,"biologically, i am here because of my parents, but i choose to stay here because i want to be here.",1,1
154,"ive been in the workforce on the recruitment side, and in the bay area i see how recruiters skim resumes, and if a degree isnt on there, they go to the bottom of the pile.",0,0
155,"as i got older, i started to realize the complexities of the machine and all the different aspects of the industry which only made me more fascinated.",0,0
156,"this class will help me further my understanding, and more importantly have me continue on my major pathway.",0,0
157,"i love the excitement, the knowledge, and the help i would put towards others as a nurse.",0,0
158,i am here in this class because i want to do good in my organic chem class.,1,1
159,"in the end, i decided to make sf state my home because i wanted to get away from home yet still be in the vicinity.",0,0
160,"in that case, i am very relieved.",0,0
161,"im honestly glad she did, i feel as though ive gained more confidence and ive found that i like being independent.",0,0
162,"i'm also in this class because i genuinely enjoy doing labs especially physics labs as opposed to just a lecture, it helps me to get a better understanding of physics concepts so everything isn't just math and formulas.",0,0
163,i'm in school because i want to be successful not because i have to.,1,1
164,"i really love biochemistry but some of the requirements, like physics and organic chemistry, arent my favorite requirements.",0,0
165,"sci 121 is also a good class for me because it fits my schedule and i can get free help like packets, tutoring and exam previews for one extra credit.",0,0
166,"another reason i am here is to prove to myself that i can do it, if nothing else i can definitely say that i tried!",0,0
167,its actually a question i ask myself more often than i realized.,0,0
168,physics complicates more general life interactions so that i can look at what happens more complexly.,0,0
169,i am here to learn and succeed in my ochem lecture.,1,1
170,if it is all around us we should understand its existence and the purpose that it brings us.,0,0
171,"what i do know is that this class, this job, this school, this major are all stepping stones to where i am supposed to end up and that is why i am here.",0,0
172,"id like to say i'm pretty good at biology, chemistry, and math but when i come to physics i'm completely lost and almost have no interest.",0,0
173,i want to make a positive difference in my community and help many families.,1,1
174,i have always been fascinated with doing hands on work and trying out experiments.,0,0
175,i am here to discover the joy of life.,1,1
176,"now talking about in general, i feel like my purpose in this world is to make a positive impact on people s lives.",0,0
177,i am here to become stronger mentally more educated.,1,1
178,i have always enjoyed going to school and learning new things.,0,0
179,i am here in lab class to get a better understanding of my physics lecture classes.,0,0
180,another reason why i took this class is to meet new people as it good thing to make more friends.,0,0
181,i also learn how to collaborate more with my peers and ask more questions.,0,0
182,"before moving to san francisco, i was a regular volunteer at the san diego humane society, my local animal shelter, for nearly three years.",0,0
183,the future of technology is very bright and i can see it continuing to evolve as time goes on.,0,0
184,my friend passed away recently from a disease.,0,0
185,"i dont have any prior experience with physics classes, but i am looking forward to learning and strengthening my knowledge on this subject.",0,0
186,so that is what i am doing here.,0,0
187,"i'm partially here because this class is for my major, but i am also motivated to learn something new.",0,0
188,i really want to keep learning.,0,0
189,"although i am not a physics major, i need this class and physics 2 in order to get my undergraduate degree.",0,0
190,"i guess it's called the ""american dream"" that people would believe they'll be able to achieve.",0,0
191,i am here to fulfill a covenant with myself and become an electrical engineer.,1,1
192,that everything i do with my life will not only help my family but everyone in my community.,0,0
193,a question that can only be answered within your inner self.,0,0
194,"i want to challenge myself and help my imagination with concepts like relativity and string theory, which can lead to great discoveries, like computers and lasers, that lead to technologies which change our lives, since we live in silicon valley.i heard that physics is very important because you learn how healing joints, to curing cancer, to developing sustainable energy solutions are shown in physics.",1,1
195,it is not my time to die yet.,0,0
196,i have to take these courses because its a requirement for all biology majors.,0,0
197,i wouldnt take this course if it werent on the pathway to biochemistry.,0,0
198,im here to make myself proud and to make my family proud.,0,0
199,i do not want to be stumped on a problem because i cannot imagine what it is supposed to look like or what it is meant to represent.,0,0
200,i am honeestlly confused on if its talking about this class or in general.,0,0
201,i am here because i am human.,0,0
202,"speaking as a doctor, i'm here to heal them and make sure i do everything i can to save their life.",1,1
203,i always excelled in the life sciences and their connection to the real world always seemed to grasp my attention.,0,0
204,i am very passionate about sports and being in that atmosphere will keep me motivated and able to understand the physical and mental struggles that athletes go through.,0,0
205,"the labs so far are pretty cool, although they tire me out a little bit and can be somewhat confusing.",0,0
206,"you may not know that i am a person who partial on science, my liberal arts is not that good.",0,0
207,stem research is a collective effort that builds on top of each other.,0,0
208,"also, i am excited to meet some of my classmates as some of them may have more knowledge about physics than i do so they can possibly help out if i don't understand something before i ask you.",0,0
209,does purpose define life?,0,0
210,"first of all, i need this class to fulfil my units because in order to be qualified for financial aid, i must need at least 12 units and above.",0,0
211,it seems pretty simple so far but i am taking a lot of classes.this class seems fun so far experimenting with stuff.,0,0
212,trying to be successful during this class so that i could take physics 2 and finish my requirements.,0,0
213,"also, i am still very new to physics as i do not recall much from my previous physics class and was very bad at understanding how motion works in general.",0,0
214,"i lived in mexico for almost half my life and i know how bad the situation over there is, you cant really succeed and when the opportunity to move to the usa and have a better life came up it was something i couldnt say no to.",0,0
215,5 minutes to talk about why i think i am here..,0,0
216,i love animals and i am 100 sure i want to spend the rest of my life helping them.,0,1
217,"i hope to master this course as well as the next required physics course, so that i can hopefully tutor other students that are struggling in stem, just like i am.",0,0
218,"the reason why i came to this major , which lead me to take this class, is because i am fulfilling my goal into getting into medical school.",1,1
219,living in a low income area of oakland made certain things to comeby.,0,0
220,"even in school, i tried to be involved with stem related activities because it had always interested me.",0,0
221,reflective journal essay 1 the question why am i here? can be interpreted in many ways.,0,0
222,schooling is important because after we are done we will be released into the world with the ideas we have been forced to learn and with all that information we have to make money.,0,0
223,i want to research infectious diseases but also have the ability to treat patients.,1,1
224,this class will definitely help me get a good grade chem 115 which is my goal this year,0,0
225,"""why am i here?"" the obvious reason why am i here is because this class is required to take for my physics class 230.",0,0
226,"because of breakthroughs in the past we have eliminated lots of diseases like smallpox and polio, diseases that have decimated millions in the past can now be eliminated with a shot.",0,0
227,i think learning the basics of how the world works around us is very important.,0,0
228,"it was a big before the exam, going through some mock exams and asking any questions for certain questions that i didn't understand or that the whole class did not understand at all.",0,0
229,i am here because the only thing i want fo be when i am older is successful.,0,0
230,"i am in this sci 111 class, because i have never taken physics in high school and i know that physics requires a lot of math in which i am very weak in.",0,0
231,the reason why i want to go into the stem field is due to mainly my parents pushing it on to me.,0,1
232,the alma journal was onlhy at 182 words.,0,0
233,"so long story short, i join this class in order to one day help design and build the first affortable submarine car.",0,1
234,you might think physic is not relevant to research and business but they are connected.,0,0
235,"i want to pass this class with a high grade, so i will try my best to stay on top of my assignments.",1,1
236,i am here in class on a tuesday afternoon in terms of taking physics 242 because i need it to graduate.,1,0
237,"all things considered, these are all the reasons i am here.",0,0
238,"ive always wanted to be a doctor ,even as a child.",0,1
239,in order to achieve my true goals in life i have to be right here.,0,0
240,in deciding to enroll for those classes and committing for a while it was clear to me that an education in the stem field would suit me perfectly since i rater enjoyed covering math and science subjects in school.,0,0
241,i want this work ethic to continue this way until the end of the semester.,0,0
242,im inspired by my parents and i hope to make a bigger positive impact in other strangers' lives.,0,0
243,i also feel that there is no such thing as learning enough so i know that there is always something new i can learn here whether its a harder problem or just going more into details with definitions of topics.,0,0
244,i never thought about this question before or how i am suppose to answer.,0,0
245,every person ive met before this point was meant to pass by me and give me some kind of influence so i can harbor the best self i can ever hold.,0,0
246,honestly i can rant about any of the above choices that i mentioned but i think your question relates to either why am i taking this supplementary course or why im at this school.,0,0
247,not necessarily sure.,0,0
248,i am not planning on majoring in physic or go into more details physic ideas.,0,0
249,"as of right now my career path is very murky, like it changes daily kind of like i want to do a lot of stuff, experiencing many different things.",1,1
250,she saw it as a massive waste of my time and future were i to pursue it further.,0,0
251,"my goal is to graduate in four years and in order to do that i have to sacrifice my mornings, so that i could take my classes early and have more time in the afternoon to either work or get more classes to take.",0,1
252,i have programmed a raspberry pi and arduino but most of the actual building of the robots and circuits was through kits with directions and i didn't feel like i really understood the wiring of the robotics so i knowledge of circuits might give me better intuition of building things that aren't pre built projects with directions.,0,0
253,i hope this subject will teach me at least something valuable i can use in becoming a software engineer.,1,1
254,"but to answer the question in it's entirety, i'm here taking general physics because it's a prerequisite.",0,0
255,this means that i am going to need to understand some of the material that i learn in physics for my specific major.,0,0
256,"three years later, i came back to this school to finish what i have started and i am not stopping and definitely do not plan to repeat any of my major required courses.",0,0
257,even though i hate going to school a lot i still force myself to go cause i want to be able to reach my career.,1,1
258,"i am here to build a life for myself and am starting with getting a good grade in physics, and this class will hopefully enable me to do so.",1,1
259,but i am also here to better myself as a person.,1,1
260,but why am i in this class?,0,0
261,"also, discover myself and what i want.",0,0
262,"since my major is prebiochemistry, taking this class will assist me in my completing one of my major classes required for me to graduate.",0,1
263,there are still things to uncover and understand in stem and i want to be part of the team that does it as it's quite a feat.,1,1
264,i am taking a sci helper class to better understand what i am learning in class.,0,0
265,"i can understand xus lectures just fine and it makes sense when he walks us through our problems and worksheets, but when it comes to our homework, i end up getting less than about 60 and it does not teach you how to do the problems when you get them wrong.",0,0
266,"im still a psychology major because i sent in an application a year ago and this summer got changed to it, but im changing it to biology with a concentration of zoology.",0,0
267,learning about that and being able to help another person life is success and providing for the community around.,0,0
268,that is not to say that i am disinterested in physics.,0,0
269,i'm afraid of asking for help.,0,0
270,"during high school, i took many advanced classes focused on science and math facing majors.",0,0
271,having to do this assignment is a waste of my time and i would much rather be watching a physics related video and write about it than this random unrelated question.,0,0
272,all i ever want to do is smoke a joint and play video games.,0,0
273,apart from this class being a requirement for me this class is pretty interesting.,0,0
274,another reason i am here is because i want to be able to help others by learning something myself.,0,1
275,what would be the point in living?,0,0
276,a semester closer into helping others.,0,0
277,my goal for this course is to stay on top of my game and pass all the exams with a b or above.,1,1
278,thank you for the opportunity to learn about physics and how experiments are done in a laboratory.,0,0
279,"but i think the main important reason as to why i am here is to not only make the troubles and contributions that were done for my sake to not be wasted, but to really find out if the path that im set on now is my purpose.",0,0
280,the final reason is that it pays well.all of these reasons kind of link together.,0,0
281,school is not about just participation and attending to do minimally get good grades.,0,0
282,i am specifically here in this class because i want to succeed in general chemistry 215.,1,1
283,i am here to help make a better life for my parents.,0,1
