sentence,label,phrase
you may ask why i was born in a house?,0,"['I was born in Afghanistan in a house during the warzone in 1996. You may ask why I was born in a house? Because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth. They are short in women doctors there and many children die during birth because they are being born at home. And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.']"
"because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth.",0,"['I was born in Afghanistan in a house during the warzone in 1996. You may ask why I was born in a house? Because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth. They are short in women doctors there and many children die during birth because they are being born at home. And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.']"
they are short in women doctors there and many children die during birth because they are being born at home.,0,"['I was born in Afghanistan in a house during the warzone in 1996. You may ask why I was born in a house? Because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth. They are short in women doctors there and many children die during birth because they are being born at home. And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.']"
and my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.,0,"['I was born in Afghanistan in a house during the warzone in 1996. You may ask why I was born in a house? Because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth. They are short in women doctors there and many children die during birth because they are being born at home. And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.']"
im in college because i know that i can make a change in my community.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']"
that everything i do with my life will not only help my family but everyone in my community.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']"
i have a drive to do better in a world that constantly belittles my community.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']"
im not shy to say it how it is and it will drive me to success.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']"
the only way that im able to create a better future for my community is by getting a phd and create data dedicated in my community and create policy targeted towards my community.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']"
i want to create change and its all about finding ways to make those changes.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']"
"im in love with research and the beautiful ness of my mexican community, but weve been criminalized and dehumanized, and i want to change that.",0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']"
im here because i know that this is the start of everything i want to accomplish.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']"
i know that i still have years until i finish my life academically but i know that i want to do everything to help my community.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']"
it's funny because ive never been happier than i ever been because of everything ive been doing lately.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']"
i just know this is what i want to do with my life.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']"
why am i here?,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']"
sometimes i ask myself the same thing.,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']"
with school life it really hasn't been fare to me.,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']"
"at 28 years old, i have came across several roadblocks that has directed me to quick.",0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']"
"but yet, i am still persevering to become the mechanical engineer i am setting out to be.",0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']"
sometimes i feel that i am too old to be in school especially this semester.,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']"
i see more 18 year olds and it just makes me feel that much older.,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']"
plus the fact that i am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me.,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']"
but to be honest in the back of my mind i know what it has taken me to get to this point.,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']"
at the end of the day i just know to keep my eyes ok the prize and the rest will come along.,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']"
even with this kidney stone i still do my best to come to class through the pain.,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']"
so why am i here?,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']"
i feel like i am meant to be here.,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']"
i am here simply because it is part of the requirements of obtaining my degree.,0,"['I am a Disabled Veteran and am coming back to school to learn skills more properly suited for civilian interaction, basically here to learn something thats not related to killing and dealing with guns since all those skills do is help me stay in the cycle of protection lines of work (cop, security, etc...)']"
i transferred from sjsu this semester after i switched from being a premed student to a computer science major.,0,"['I am a Disabled Veteran and am coming back to school to learn skills more properly suited for civilian interaction, basically here to learn something thats not related to killing and dealing with guns since all those skills do is help me stay in the cycle of protection lines of work (cop, security, etc...)']"
so i guess im here for a grade is all.,0,"['I am a Disabled Veteran and am coming back to school to learn skills more properly suited for civilian interaction, basically here to learn something thats not related to killing and dealing with guns since all those skills do is help me stay in the cycle of protection lines of work (cop, security, etc...)']"
"since the journal requirement is minimum one hundred and fifty words i shall continue rambling on. i am a disabled veteran and am coming back to school to learn skills more properly suited for civilian interaction, basically here to learn something thats not related to killing and dealing with guns since all those skills do is help me stay in the cycle of protection lines of work (cop, security, etc...).",1,"['I am a Disabled Veteran and am coming back to school to learn skills more properly suited for civilian interaction, basically here to learn something thats not related to killing and dealing with guns since all those skills do is help me stay in the cycle of protection lines of work (cop, security, etc...)']"
"keeping an open mind i am looking forward to this transition and know it will be difficult but after the military nothing really can be that bad, or can it? expectations for this class are high i suppose in the fact that this course takes prerequisites to even get into.",0,"['I am a Disabled Veteran and am coming back to school to learn skills more properly suited for civilian interaction, basically here to learn something thats not related to killing and dealing with guns since all those skills do is help me stay in the cycle of protection lines of work (cop, security, etc...)']"
im here to learn and will try my utmost best to obtain a b grade ill take a c but want to aim for a b. the reason a is not mentioned is because i realize the challenge in front of me and with current course load i will be multifocusing so all my time and effort will not be in this class alone.,0,"['I am a Disabled Veteran and am coming back to school to learn skills more properly suited for civilian interaction, basically here to learn something thats not related to killing and dealing with guns since all those skills do is help me stay in the cycle of protection lines of work (cop, security, etc...)']"
this is no excuse just a realization and current confidence entering a course containing new subject matter.,0,"['I am a Disabled Veteran and am coming back to school to learn skills more properly suited for civilian interaction, basically here to learn something thats not related to killing and dealing with guns since all those skills do is help me stay in the cycle of protection lines of work (cop, security, etc...)']"
"as a first generation student, i feel like it is my duty to break the generation of poverty and low education and instead be the first to pioneer a hopeful path of higher education and not be constrained to work.",1,"['As a first generation student, I feel like it is my duty to break the generation of poverty and low education and instead be the first to pioneer a hopeful path of higher education and not be constrained to work.']"
"this is why i am motivated to keep going to school and work hard because im the only whom has this opportunity thread a path of a better education, thus is one of my goals to inspire future family generations and help them out and continue the cycle and break it.",0,"['As a first generation student, I feel like it is my duty to break the generation of poverty and low education and instead be the first to pioneer a hopeful path of higher education and not be constrained to work.']"
i feel like my purpose here is to break this cycle so my future generation family and legacy will live prosperously.,0,"['As a first generation student, I feel like it is my duty to break the generation of poverty and low education and instead be the first to pioneer a hopeful path of higher education and not be constrained to work.']"
i'm here in san francisco mostly because it's the furthest away from hole but more importantly there is a great ethnic studies program and an amazing moot team.,0,"['I really want to be an immigration lawyer, especially here in the bay since South East Asians here are getting targeted by ICE.']"
"i really want to be an immigration lawyer, especially here in the bay since south east asians here are getting targeted by ice. i'm here in this class because i truly hate science and at least this is kind of interesting.",1,"['I really want to be an immigration lawyer, especially here in the bay since South East Asians here are getting targeted by ICE.']"
i like feeling tiny in this huge world.,0,"['I really want to be an immigration lawyer, especially here in the bay since South East Asians here are getting targeted by ICE.']"
but the reason why i keep going is for my family.,0,"['I really want to be an immigration lawyer, especially here in the bay since South East Asians here are getting targeted by ICE.']"
they gave up everything for me to be here and im not going to mess that up.,0,"['I really want to be an immigration lawyer, especially here in the bay since South East Asians here are getting targeted by ICE.']"
thats why i'm here,0,"['I really want to be an immigration lawyer, especially here in the bay since South East Asians here are getting targeted by ICE.']"
being at san francisco state university is an opportunity to expand my learning and experience a new environment that would enable me to endure the challenges that come ahead as an adult.,0,"['Moving from Los Angeles to San Francisco, I came with the hope to learn how to become independent and vouch for my needs and wants in a society where minorities like myself are constantly under attack and come from communities lacking in resources.']"
"moving from los angeles to san francisco, i came with the hope to learn how to become independent and vouch for my needs and wants in a society where minorities like myself are constantly under attack and come from communities lacking in resources.",1,"['Moving from Los Angeles to San Francisco, I came with the hope to learn how to become independent and vouch for my needs and wants in a society where minorities like myself are constantly under attack and come from communities lacking in resources.']"
"after a year of attending sfsu, i remain here because of the need to provide my parents with the feeling of accomplishment of having me graduated from a 4 year university.",0,"['Moving from Los Angeles to San Francisco, I came with the hope to learn how to become independent and vouch for my needs and wants in a society where minorities like myself are constantly under attack and come from communities lacking in resources.']"
i continue to remain here because of my fight to improve the educational institution and create a safer and stronger support system for future generations to come.,0,"['Moving from Los Angeles to San Francisco, I came with the hope to learn how to become independent and vouch for my needs and wants in a society where minorities like myself are constantly under attack and come from communities lacking in resources.']"
taking this class in particular was meant to assist me in fulfilling my general education and pushing me towards receiving my credits toward my intended areas of study.,0,"['Moving from Los Angeles to San Francisco, I came with the hope to learn how to become independent and vouch for my needs and wants in a society where minorities like myself are constantly under attack and come from communities lacking in resources.']"
why am i here?the reason i am here is to prove myself and the people who have doubted my capabilities all from the start.,0,['The reason I am here is to prove myself and the people who have doubted my capabilities all from the start. I am here to prove that coming from an immigrant is not easy to succeed in this white america but nothing is impossible.']
"coming from an immigrant family, being apart from my parents for many years, without having the support and motivation to keep my dreams going was nothing short of easy.",0,['The reason I am here is to prove myself and the people who have doubted my capabilities all from the start. I am here to prove that coming from an immigrant is not easy to succeed in this white america but nothing is impossible.']
"in a household where sometimes i would not have the luxury of having to eat breakfast, lunch and dinner.",0,['The reason I am here is to prove myself and the people who have doubted my capabilities all from the start. I am here to prove that coming from an immigrant is not easy to succeed in this white america but nothing is impossible.']
sometimes it would just be one meal a day.,0,['The reason I am here is to prove myself and the people who have doubted my capabilities all from the start. I am here to prove that coming from an immigrant is not easy to succeed in this white america but nothing is impossible.']
i am here to prove that coming from an immigrant is not easy to succeed in this white america but nothing is impossible.,0,['The reason I am here is to prove myself and the people who have doubted my capabilities all from the start. I am here to prove that coming from an immigrant is not easy to succeed in this white america but nothing is impossible.']
i am here to be able to learn and capture as much knowledge as i can in my path to achieving one of the many goals i have set myself to accomplish.,0,['The reason I am here is to prove myself and the people who have doubted my capabilities all from the start. I am here to prove that coming from an immigrant is not easy to succeed in this white america but nothing is impossible.']
i want to continue to learn as much things so that i can provide myself the wealth the intelligence that i was not given at an earlier age.,0,['The reason I am here is to prove myself and the people who have doubted my capabilities all from the start. I am here to prove that coming from an immigrant is not easy to succeed in this white america but nothing is impossible.']
"i have fought and worked so hard for everything that i have obtained in life, and that is the reason why i am here, i am here to make myself proud my parents and show everyone that when you put your mind to something, anything is possible when the sky is your limit.",0,['The reason I am here is to prove myself and the people who have doubted my capabilities all from the start. I am here to prove that coming from an immigrant is not easy to succeed in this white america but nothing is impossible.']
i am here to provide myself with opportunities and accomplish to something besides stereotypes and provide my resources to other younger generations with them to help them also accomplish to these goals and achieve to more than they can imagine.,1,['I am here to provide myself with opportunities and accomplish to something besides stereotypes']
i am here because of my goal in trying to get a b.s. in biology concentrated physiology.,0,"[""My family has been the typical nail salon shiz, but I'm here to become a doctor.""]"
i am the first in my family to attempt to get into med school.,0,"[""My family has been the typical nail salon shiz, but I'm here to become a doctor.""]"
"my family has been the typical nail salon shiz, but im here to become a doctor.",1,"[""My family has been the typical nail salon shiz, but I'm here to become a doctor.""]"
i am here because this is the only path in life that i can see myself taking.,0,"['I am here to better be and provide resources to hospitals that need me, and to break the stigma of healthcare being a certain way.']"
it is and has been my greatest passion since i was little.,0,"['I am here to better be and provide resources to hospitals that need me, and to break the stigma of healthcare being a certain way.']"
"i am here to better be and provide resources to hospitals that need me, and to break the stigma of healthcare being a certain way.",1,"['I am here to better be and provide resources to hospitals that need me, and to break the stigma of healthcare being a certain way.']"
"science and medicine fascinate me, it opens my mind to reality that everything in is interconnected in different ways possible.",0,"['I am here to better be and provide resources to hospitals that need me, and to break the stigma of healthcare being a certain way.']"
i am here because of our different to struggle but i want to help build my character.,0,"['I am here to better be and provide resources to hospitals that need me, and to break the stigma of healthcare being a certain way.']"
"i want to learn not memorize, and understand and not _.",0,"['I am here to better be and provide resources to hospitals that need me, and to break the stigma of healthcare being a certain way.']"
i am here because i want to make a positive difference in this world.,0,"['I want to represent myself, my gender, my sexuality, and my Latina heritage and prove the world wrong that we do have the potential to flourish']"
"i want to represent myself, my gender, my sexuality, and my latina heritage and prove the world wrong that we do have the potential to flourish.",1,"['I want to represent myself, my gender, my sexuality, and my Latina heritage and prove the world wrong that we do have the potential to flourish']"
im currently lost as to how it is that i want to make my print in this world currently out of bio chemistry major not sure if i want to do research or medicine or neither ill just go with the flow.,0,"['I want to represent myself, my gender, my sexuality, and my Latina heritage and prove the world wrong that we do have the potential to flourish']"
i am here because of the way that i have grown up.,0,['I am here to disprove stereotypes.']
im here because of all the sacrifices that both my parents have made for me and my little sisters.,0,['I am here to disprove stereotypes.']
im here to disapprove stereotypes im here for a better future for myself im here for my family and everything they have given up for me to be here.,0,['I am here to disprove stereotypes.']
im here for the community i grew up in and the culture that cultirated the person i am.,0,['I am here to disprove stereotypes.']
